CustomerID,Recency,Frequency,Monetary
12346,326,1,77183.6
12347,2,182,4310
12348,75,31,1797.24
12349,19,73,1757.55
12350,310,17,334.4
12352,36,85,2506.04
12353,204,4,89
12354,232,58,1079.4
12355,214,13,459.4
12356,23,59,2811.43
12357,33,131,6207.67
12358,2,19,1168.06
12359,58,245,6310.03
12360,52,129,2662.06
12361,287,10,189.9
12362,3,266,5226.23
12363,110,23,552
12364,8,85,1313.1
12365,291,22,641.38
12367,4,11,168.9
12370,51,166,3541.94
12371,45,63,1887.96
12372,72,52,1298.04
12373,311,14,364.6
12374,25,33,742.93
12375,11,17,457.5
12377,315,77,1628.12
12378,130,219,4008.62
12379,82,40,852.24
12380,22,104,2724.81
12381,5,87,1845.31
12383,185,99,1850.56
12384,29,27,585.27
12386,338,10,401.9
12388,16,100,2780.66
12390,80,32,549.84
12391,22,93,439.66
12393,72,64,1582.6
12394,64,27,1272.48
12395,19,156,3018.63
12397,36,126,2409.9
12398,46,85,1635.66
12399,119,59,1108.65
12401,303,5,84.3
12402,323,11,225.6
12403,50,5,427.7
12405,149,54,1710.39
12406,22,105,3415.3
12407,50,77,1708.12
12408,33,105,2888.55
12409,79,109,11072.67
12410,309,26,693.33
12412,75,61,1226.88
12413,67,38,758.1
12414,217,18,562.41
12415,24,716,124914.53
12417,3,192,3649.1
12418,113,34,668.58
12420,64,29,600.39
12421,16,45,807.04
12422,96,39,803.56
12423,1,125,1859.31
12424,163,30,1760.96
12425,78,36,777.2
12426,195,30,582.73
12427,22,31,825.8
12428,26,294,7956.46
12429,9,97,3750.4
12430,43,11,256.4
12431,36,235,6419.95
12432,43,108,5059.32
12433,1,420,13375.87
12434,85,50,806.14
12435,80,36,7829.89
12436,100,16,509.01
12437,2,200,4951.41
12438,14,98,2906.85
12441,367,11,173.55
12442,3,12,172.06
12444,21,177,5005.46
12445,22,4,133.4
12446,58,58,1002.31
12447,243,26,476.49
12448,44,22,449.45
12449,22,191,4067.29
12450,156,8,197.88
12451,11,354,9035.52
12452,17,22,430.57
12453,134,43,707.09
12454,56,15,3528.34
12455,73,90,2466.86
12456,44,125,3181.04
12457,66,63,2363.23
12458,71,38,947.4
12461,94,35,826.88
12462,19,62,1189.59
12463,53,83,1344.78
12464,10,29,1212.05
12465,17,47,742.19
12468,188,38,729.54
12471,2,459,19788.65
12472,32,339,6572.11
12473,29,167,3928.05
12474,17,422,7324.09
12475,54,36,723.38
12476,16,233,6816.42
12477,23,300,13219.74
12478,4,36,680.99
12479,11,31,527.2
12480,28,154,3281.63
12481,23,216,5579.82
12483,17,75,2484.98
12484,33,343,4527.32
12488,10,55,1298.66
12489,336,15,334.93
12490,5,245,5417.93
12491,39,26,460.4
12492,63,20,263.21
12493,166,22,433.74
12494,16,77,1246.1
12497,82,14,1043.1
12498,21,23,403.7
12500,23,61,4257.82
12501,337,149,2169.39
12502,96,147,3723.87
12504,18,9,482.05
12506,233,23,73.5
12507,134,22,1304.81
12508,26,68,397.88
12509,284,7,176.5
12510,143,33,982.57
12512,66,31,132.18
12513,113,35,612.29
12514,267,51,1017.68
12515,353,16,383.7
12516,78,26,1312.06
12517,28,279,2481.6
12518,1,124,2056.89
12519,64,17,330.84
12520,79,152,2634.26
12521,143,38,599.68
12522,39,12,192.72
12523,19,106,1789.77
12524,9,144,4485.72
12526,1,71,1316.66
12527,82,18,348.71
12528,9,92,1933.48
12530,60,66,1662.28
12531,15,17,125.22
12532,30,16,349.83
12534,131,63,1089.18
12535,92,34,716.35
12536,43,261,12601.83
12538,29,21,363.95
12539,22,273,5568.35
12540,20,478,13400.24
12541,30,52,981.18
12544,36,19,372.7
12545,75,50,1000.39
12546,47,69,1161.5
12547,198,8,207.8
12548,166,5,95.2
12550,79,57,964.83
12551,358,10,168
12552,39,20,437.82
12553,8,191,3692.28
12556,50,119,599.56
12557,16,33,11990.96
12558,8,11,269.96
12559,311,21,561.71
12560,5,105,2134.01
12561,303,16,238.85
12562,8,168,3781.74
12564,261,21,456.9
12565,289,9,145.92
12566,86,19,351.65
12567,23,446,9401.28
12569,2,188,4124.69
12571,40,34,519.61
12572,9,60,1020.42
12573,227,28,160.54
12574,316,11,218.45
12576,36,88,1315.83
12577,35,146,626.6
12578,21,114,2794.51
12579,78,29,440.42
12580,247,24,415.7
12581,40,15,197.71
12582,239,22,511.36
12583,3,247,7281.38
12584,4,96,2338.15
12585,234,87,2040.1
12586,17,11,196.94
12587,8,4,144
12588,39,10,214.9
12589,29,35,646.68
12590,211,68,9864.26
12591,317,26,452.85
12592,92,18,437.6
12593,109,21,418.1
12594,38,118,3338.22
12596,51,27,618.27
12597,19,206,3811.22
12598,10,132,3023.08
12599,29,62,1032.58
12600,29,64,2599.04
12601,190,28,577.06
12602,59,12,153.12
12603,22,3,739.2
12604,79,16,254.18
12607,60,101,1579.51
12609,78,60,1126.85
12610,23,106,2099.54
12611,52,65,1193.32
12612,74,19,704.04
12613,57,153,3344.38
12614,278,20,315.6
12615,2,105,2291.19
12616,95,32,713.3
12617,29,41,352.98
12618,22,11,177.31
12619,16,90,3641.24
12620,15,92,1339.41
12621,2,467,13689.67
12622,232,11,180.1
12623,276,18,305.1
12624,106,38,641.13
12625,212,86,2683.82
12626,23,294,6620.48
12627,11,230,4478.53
12628,4,41,786.46
12630,10,64,1270.88
12631,57,31,640.5
12633,59,101,2163.98
12635,90,101,1689.18
12637,67,382,6002.9
12638,33,39,671.69
12639,239,22,486.1
12640,24,53,1174.58
12641,115,10,185.9
12642,25,47,1013.26
12643,128,24,3344.64
12644,130,31,477.91
12645,34,73,1775.18
12646,5,45,1346.97
12647,22,122,3722.82
12648,155,21,318.05
12649,107,31,623.51
12650,3,20,314.44
12651,335,9,114
12652,331,48,919.98
12653,149,43,2209.85
12654,11,38,601.98
12656,17,126,4051.17
12657,11,47,1643.18
12658,19,36,686.05
12659,30,5,91.68
12660,11,13,245.1
12662,1,230,3849.78
12664,8,37,4881.88
12665,325,3,63
12667,58,33,620.13
12668,12,161,3807.15
12669,151,101,2744.03
12670,10,92,2996.05
12672,330,10,225.9
12673,5,42,610.52
12674,39,83,1970.6
12676,25,45,1331.39
12678,42,165,17628.46
12679,59,48,1113.02
12680,1,52,862.81
12681,15,638,13787.54
12682,4,524,12279.82
12683,4,344,8476.57
12684,8,105,2283.63
12685,28,157,2863.08
12686,372,7,89.14
12688,114,171,4873.81
12689,26,72,1247.61
12690,206,16,389.01
12691,28,32,1035.8
12693,127,39,855.91
12694,70,37,869.67
12695,7,27,582.1
12697,29,41,957.59
12700,8,268,4939.99
12701,80,53,797.71
12702,20,12,219
12703,71,21,283.55
12704,7,88,2340.84
12705,15,334,6868.29
12707,292,33,603.42
12708,30,157,2712.91
12709,15,207,9706.52
12710,97,77,1149.02
12712,29,133,4396.13
12713,1,38,848.55
12714,9,259,4708.86
12715,106,20,343.36
12716,4,69,1053.49
12717,151,55,1030.98
12718,71,19,238.25
12719,5,39,644.95
12720,3,354,5781.73
12721,32,161,2656.13
12722,85,53,997.63
12723,4,69,725.07
12724,5,53,1031.41
12725,371,24,427.8
12726,28,124,2609.1
12727,11,139,3980.7
12728,71,46,836.33
12729,114,26,453.01
12731,24,274,18895.91
12732,180,12,236.26
12733,234,22,383.95
12734,353,4,110.4
12735,315,43,779.57
12736,333,4,234
12738,372,11,155.35
12739,78,38,1013.04
12740,64,27,427.6
12743,134,131,540.13
12744,52,222,21279.29
12747,2,103,4196.01
12748,1,4413,33053.19
12749,4,199,4090.88
12750,129,15,275.88
12752,81,53,4366.78
12753,23,197,21429.39
12754,236,63,3010.74
12755,281,4,3811.95
12756,87,4,112.08
12757,16,364,7834.65
12758,117,97,2791.59
12759,52,95,1531.44
12762,8,69,1898.52
12763,138,18,494.08
12764,317,45,1693.88
12766,4,310,6989.63
12769,239,32,1143.6
12770,211,12,1351.45
12772,60,55,892.47
12775,17,66,1386.04
12778,20,50,822.23
12779,38,149,3981.36
12781,64,25,826.74
12782,5,103,2330.92
12783,2,84,2225.91
12784,9,57,532.82
12785,364,14,311.95
12787,10,20,463.66
12789,65,4,91.85
12790,192,21,324.92
12791,374,2,192.6
12792,257,25,400.54
12793,335,24,545.48
12794,53,45,860.41
12795,19,14,430.48
12797,366,13,254.03
12798,10,8,6977.04
12802,187,25,427.58
12808,37,28,483.65
12809,178,25,489.31
12811,261,31,514.85
12812,45,15,229.64
12814,102,2,125.92
12815,148,47,1063.46
12816,96,29,572.2
12817,281,4,166.04
12818,262,14,1542.08
12820,3,59,942.34
12821,214,6,92.72
12822,71,46,948.88
12823,75,5,1759.5
12824,60,25,397.12
12826,3,91,1474.72
12827,6,25,430.15
12828,3,56,1018.71
12829,337,11,293
12830,38,38,6814.64
12831,262,9,215.05
12832,32,27,383.03
12833,145,24,417.38
12834,283,18,312.38
12836,59,174,2610.36
12837,173,12,134.1
12838,34,120,671.95
12839,3,314,5591.42
12840,144,113,2726.77
12841,5,414,3991.58
12842,70,34,1118.99
12843,66,103,1702.26
12844,29,52,325.96
12845,267,27,354.09
12847,22,84,843.64
12849,31,48,1010.29
12851,97,47,131.81
12852,295,17,311.55
12853,135,78,1957.1
12854,79,109,1316.25
12855,373,3,38.1
12856,8,311,2170.78
12857,211,46,1106.4
12863,52,5,521.2
12864,138,3,147.12
12865,26,95,1568.23
12866,283,26,559.12
12867,26,534,4009.34
12868,186,107,1607.06
12871,84,11,380.64
12872,327,66,599.97
12873,282,4,374
12875,143,2,343.23
12876,58,85,2218.02
12877,4,154,1535.77
12878,236,47,854.99
12879,45,10,573.22
12881,276,7,298
12882,9,13,1463.04
12883,25,42,703.47
12884,88,7,309.05
12885,63,71,1175.22
12886,68,82,1378.4
12888,214,5,354.12
12890,24,79,376.72
12891,186,3,331
12893,31,31,176.55
12895,42,22,372.8
12897,205,4,216.5
12901,9,116,17654.54
12902,265,10,138.68
12904,18,71,496.06
12906,12,63,2919.81
12908,176,2,750
12909,40,91,2178.67
12910,23,75,3075.04
12912,3,24,1662.3
12913,5,50,2483.63
12915,149,22,363.65
12916,139,103,2944.95
12917,128,2,594
12919,8,50,1335.19
12920,17,27,162.78
12921,9,720,16587.09
12922,161,28,405.38
12923,64,28,172.82
12924,88,30,933.7
12925,5,45,694.05
12928,35,84,2062.7
12929,312,8,117.85
12930,78,25,415.8
12931,22,82,42055.96
12933,24,106,607.53
12935,2,129,2160.7
12936,17,62,1063.9
12937,15,120,1504.27
12938,26,9,114.14
12939,64,47,11581.8
12940,55,96,899.69
12942,131,70,675.6
12944,36,30,604.51
12945,288,23,462.95
12947,144,97,1603.99
12948,16,116,2064.95
12949,31,215,4167.22
12950,2,23,1843
12951,9,63,1064.07
12952,6,79,1387.79
12953,10,17,329.85
12955,1,180,4757.16
12956,306,19,108.07
12957,10,238,4017.54
12962,7,16,266.39
12963,8,95,1856.63
12965,89,108,769.81
12966,10,10,160.18
12967,358,19,1660.9
12968,112,5,135.95
12970,7,129,405.47
12971,4,305,11189.91
12974,198,8,144.8
12976,212,22,738.6
12977,156,9,39.24
12980,158,20,7374.9
12981,30,20,372.22
12982,243,28,390.54
12984,19,4,97.5
12985,1,76,1239.38
12987,74,28,558.7
12988,292,83,505.82
12989,3,64,6924.11
12990,31,13,409.5
12991,23,31,503.76
12993,23,27,414.76
12994,4,61,974.42
12995,85,3,211.32
12997,22,59,1226.89
12999,196,28,455.88
13000,107,31,534.85
13001,4,337,9785.97
13002,318,7,120.95
13003,106,6,149.05
13004,12,404,5655.91
13005,174,26,513.7
13006,56,4,81.57
13008,323,14,229.47
13011,372,3,50.55
13012,9,88,1646.84
13013,1,219,4810.94
13014,11,110,3466.28
13015,53,175,3339.64
13016,73,47,789.89
13017,7,1,204
13018,16,458,7277.7
13021,4,131,2616.38
13023,64,40,689.9
