CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Churn
12346,326,1,77183.6,1,Regular,1
12347,2,182,4310,0,High Value,0
12348,75,31,1797.24,0,High Value,0
12349,19,73,1757.55,0,High Value,0
12350,310,17,334.4,2,At Risk,1
12352,36,85,2506.04,0,High Value,0
12353,204,4,89,2,At Risk,1
12354,232,58,1079.4,2,At Risk,1
12355,214,13,459.4,2,At Risk,1
12356,23,59,2811.43,0,High Value,0
12357,33,131,6207.67,0,High Value,0
12358,2,19,1168.06,0,High Value,0
12359,58,245,6310.03,0,High Value,0
12360,52,129,2662.06,0,High Value,0
12361,287,10,189.9,2,At Risk,1
12362,3,266,5226.23,0,High Value,0
12363,110,23,552,0,High Value,1
12364,8,85,1313.1,0,High Value,0
12365,291,22,641.38,2,At Risk,1
12367,4,11,168.9,0,High Value,0
12370,51,166,3541.94,0,High Value,0
12371,45,63,1887.96,0,High Value,0
12372,72,52,1298.04,0,High Value,0
12373,311,14,364.6,2,At Risk,1
12374,25,33,742.93,0,High Value,0
12375,11,17,457.5,0,High Value,0
12377,315,77,1628.12,2,At Risk,1
12378,130,219,4008.62,0,High Value,1
12379,82,40,852.24,0,High Value,0
12380,22,104,2724.81,0,High Value,0
12381,5,87,1845.31,0,High Value,0
12383,185,99,1850.56,2,At Risk,1
12384,29,27,585.27,0,High Value,0
12386,338,10,401.9,2,At Risk,1
12388,16,100,2780.66,0,High Value,0
12390,80,32,549.84,0,High Value,0
12391,22,93,439.66,0,High Value,0
12393,72,64,1582.6,0,High Value,0
12394,64,27,1272.48,0,High Value,0
12395,19,156,3018.63,0,High Value,0
12397,36,126,2409.9,0,High Value,0
12398,46,85,1635.66,0,High Value,0
12399,119,59,1108.65,0,High Value,1
12401,303,5,84.3,2,At Risk,1
12402,323,11,225.6,2,At Risk,1
12403,50,5,427.7,0,High Value,0
12405,149,54,1710.39,2,At Risk,1
12406,22,105,3415.3,0,High Value,0
12407,50,77,1708.12,0,High Value,0
12408,33,105,2888.55,0,High Value,0
12409,79,109,11072.67,0,High Value,0
12410,309,26,693.33,2,At Risk,1
12412,75,61,1226.88,0,High Value,0
12413,67,38,758.1,0,High Value,0
12414,217,18,562.41,2,At Risk,1
12415,24,716,124914.53,1,Regular,0
12417,3,192,3649.1,0,High Value,0
12418,113,34,668.58,0,High Value,1
12420,64,29,600.39,0,High Value,0
12421,16,45,807.04,0,High Value,0
12422,96,39,803.56,0,High Value,0
12423,1,125,1859.31,0,High Value,0
12424,163,30,1760.96,2,At Risk,1
12425,78,36,777.2,0,High Value,0
12426,195,30,582.73,2,At Risk,1
12427,22,31,825.8,0,High Value,0
12428,26,294,7956.46,0,High Value,0
12429,9,97,3750.4,0,High Value,0
12430,43,11,256.4,0,High Value,0
12431,36,235,6419.95,0,High Value,0
12432,43,108,5059.32,0,High Value,0
12433,1,420,13375.87,0,High Value,0
12434,85,50,806.14,0,High Value,0
12435,80,36,7829.89,0,High Value,0
12436,100,16,509.01,0,High Value,0
12437,2,200,4951.41,0,High Value,0
12438,14,98,2906.85,0,High Value,0
12441,367,11,173.55,2,At Risk,1
12442,3,12,172.06,0,High Value,0
12444,21,177,5005.46,0,High Value,0
12445,22,4,133.4,0,High Value,0
12446,58,58,1002.31,0,High Value,0
12447,243,26,476.49,2,At Risk,1
12448,44,22,449.45,0,High Value,0
12449,22,191,4067.29,0,High Value,0
12450,156,8,197.88,2,At Risk,1
12451,11,354,9035.52,0,High Value,0
12452,17,22,430.57,0,High Value,0
12453,134,43,707.09,0,High Value,1
12454,56,15,3528.34,0,High Value,0
12455,73,90,2466.86,0,High Value,0
12456,44,125,3181.04,0,High Value,0
12457,66,63,2363.23,0,High Value,0
12458,71,38,947.4,0,High Value,0
12461,94,35,826.88,0,High Value,0
12462,19,62,1189.59,0,High Value,0
12463,53,83,1344.78,0,High Value,0
12464,10,29,1212.05,0,High Value,0
12465,17,47,742.19,0,High Value,0
12468,188,38,729.54,2,At Risk,1
12471,2,459,19788.65,0,High Value,0
12472,32,339,6572.11,0,High Value,0
12473,29,167,3928.05,0,High Value,0
12474,17,422,7324.09,0,High Value,0
12475,54,36,723.38,0,High Value,0
12476,16,233,6816.42,0,High Value,0
12477,23,300,13219.74,0,High Value,0
12478,4,36,680.99,0,High Value,0
12479,11,31,527.2,0,High Value,0
12480,28,154,3281.63,0,High Value,0
12481,23,216,5579.82,0,High Value,0
12483,17,75,2484.98,0,High Value,0
12484,33,343,4527.32,0,High Value,0
12488,10,55,1298.66,0,High Value,0
12489,336,15,334.93,2,At Risk,1
12490,5,245,5417.93,0,High Value,0
12491,39,26,460.4,0,High Value,0
12492,63,20,263.21,0,High Value,0
12493,166,22,433.74,2,At Risk,1
12494,16,77,1246.1,0,High Value,0
12497,82,14,1043.1,0,High Value,0
12498,21,23,403.7,0,High Value,0
12500,23,61,4257.82,0,High Value,0
12501,337,149,2169.39,2,At Risk,1
12502,96,147,3723.87,0,High Value,0
12504,18,9,482.05,0,High Value,0
12506,233,23,73.5,2,At Risk,1
12507,134,22,1304.81,0,High Value,1
12508,26,68,397.88,0,High Value,0
12509,284,7,176.5,2,At Risk,1
12510,143,33,982.57,2,At Risk,1
12512,66,31,132.18,0,High Value,0
12513,113,35,612.29,0,High Value,1
12514,267,51,1017.68,2,At Risk,1
12515,353,16,383.7,2,At Risk,1
12516,78,26,1312.06,0,High Value,0
12517,28,279,2481.6,0,High Value,0
12518,1,124,2056.89,0,High Value,0
12519,64,17,330.84,0,High Value,0
12520,79,152,2634.26,0,High Value,0
12521,143,38,599.68,2,At Risk,1
12522,39,12,192.72,0,High Value,0
12523,19,106,1789.77,0,High Value,0
12524,9,144,4485.72,0,High Value,0
12526,1,71,1316.66,0,High Value,0
12527,82,18,348.71,0,High Value,0
12528,9,92,1933.48,0,High Value,0
12530,60,66,1662.28,0,High Value,0
12531,15,17,125.22,0,High Value,0
12532,30,16,349.83,0,High Value,0
12534,131,63,1089.18,0,High Value,1
12535,92,34,716.35,0,High Value,0
12536,43,261,12601.83,0,High Value,0
12538,29,21,363.95,0,High Value,0
12539,22,273,5568.35,0,High Value,0
12540,20,478,13400.24,0,High Value,0
12541,30,52,981.18,0,High Value,0
12544,36,19,372.7,0,High Value,0
12545,75,50,1000.39,0,High Value,0
12546,47,69,1161.5,0,High Value,0
12547,198,8,207.8,2,At Risk,1
12548,166,5,95.2,2,At Risk,1
12550,79,57,964.83,0,High Value,0
12551,358,10,168,2,At Risk,1
12552,39,20,437.82,0,High Value,0
12553,8,191,3692.28,0,High Value,0
12556,50,119,599.56,0,High Value,0
12557,16,33,11990.96,0,High Value,0
12558,8,11,269.96,0,High Value,0
12559,311,21,561.71,2,At Risk,1
